Song,Artist,Date,Streams,Rank,Country
Starboy,"The Weeknd, Daft Punk",2017-01-04,"1,394",1,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-04,"1,169",2,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-04,"1,157",3,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-04,"1,051",4,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-04,"1,023",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-04,"1,003",6,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-01,"1,020",1,Luxembourg
Shape of You,Ed Sheeran,2017-01-08,"2,733",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-08,"1,660",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-08,"1,325",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-08,"1,297",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-08,"1,152",5,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-08,"1,098",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-08,"1,048",7,Luxembourg
Shape of You,Ed Sheeran,2017-01-07,"2,355",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-07,"1,741",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-07,"1,360",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-07,"1,339",4,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-07,"1,208",5,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-07,"1,204",6,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-07,"1,165",7,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-07,"1,156",8,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-07,"1,091",9,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-07,"1,067",10,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-07,"1,012",11,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-05,"1,352",1,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-05,"1,224",2,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-05,"1,132",3,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-05,"1,102",4,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-05,"1,089",5,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-05,"1,051",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-05,"1,004",7,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-02,"1,312",1,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-02,"1,171",2,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-02,"1,040",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-03,"1,335",1,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-03,"1,185",2,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-03,"1,087",3,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-03,"1,070",4,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-03,"1,066",5,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-03,"1,060",6,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-03,"1,060",7,Luxembourg
Shape of You,Ed Sheeran,2017-01-06,"2,259",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-06,"1,947",2,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-06,"1,385",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,"1,371",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,"1,222",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,"1,119",6,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,"1,088",7,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-06,"1,082",8,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,"1,042",9,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-06,"1,040",10,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,"1,030",11,Luxembourg
Shape of You,Ed Sheeran,2017-01-09,"3,091",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-09,"1,760",2,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-09,"1,377",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-09,"1,377",4,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-09,"1,187",5,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-09,"1,184",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-09,"1,109",7,Luxembourg
Shape of You,Ed Sheeran,2017-01-10,"3,184",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-10,"1,733",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-10,"1,424",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-10,"1,326",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-10,"1,290",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-10,"1,170",6,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-10,"1,132",7,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-10,"1,018",8,Luxembourg
Shape of You,Ed Sheeran,2017-01-12,"2,948",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-12,"1,479",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-12,"1,426",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-12,"1,424",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-12,"1,343",5,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-12,"1,167",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-12,"1,153",7,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-12,"1,075",8,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-12,"1,036",9,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-12,"1,026",10,Luxembourg
Shape of You,Ed Sheeran,2017-01-11,"2,911",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-11,"1,527",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-11,"1,474",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-11,"1,314",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-11,"1,290",5,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-11,"1,209",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-11,"1,111",7,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-11,"1,039",8,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-11,"1,030",9,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-11,"1,013",10,Luxembourg
Shape of You,Ed Sheeran,2017-01-15,"3,006",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-15,"1,438",2,Luxembourg
Paris,The Chainsmokers,2017-01-15,"1,309",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-15,"1,275",4,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-15,"1,275",5,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-15,"1,268",6,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-15,"1,092",7,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-15,"1,088",8,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-15,"1,024",9,Luxembourg
Shape of You,Ed Sheeran,2017-01-16,"3,202",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-16,"1,442",2,Luxembourg
Paris,The Chainsmokers,2017-01-16,"1,369",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-16,"1,354",4,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-16,"1,301",5,Luxembourg
