Song,Artist,Date,Streams,Rank,Country
Blinding Lights,The Weeknd,2020-07-17,"14,099",1,Ukraine
Cadillac,"MORGENSHTERN, Eldzhey",2020-07-17,"12,379",2,Ukraine
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020-07-17,"11,079",3,Ukraine
Minor,Miyagi & Andy Panda,2020-07-17,"9,558",4,Ukraine
Yamakasi,Miyagi & Andy Panda,2020-07-17,"9,459",5,Ukraine
Habits,payton,2020-07-17,"8,658",6,Ukraine
Там ревели горы,Miyagi & Andy Panda,2020-07-17,"7,757",7,Ukraine
Atlant,Miyagi & Andy Panda,2020-07-17,"7,667",8,Ukraine
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",2020-07-17,"7,330",9,Ukraine
POPSTAR (feat. Drake),DJ Khaled,2020-07-17,"7,182",10,Ukraine
Come & Go (with Marshmello),Juice WRLD,2020-07-17,"7,119",11,Ukraine
Watermelon Sugar,Harry Styles,2020-07-17,"7,084",12,Ukraine
How You Like That,BLACKPINK,2020-07-17,"7,038",13,Ukraine
X.O,"The Limba, Andro",2020-07-17,"6,611",14,Ukraine
Fendi,Rakhim,2020-07-17,"6,554",15,Ukraine
Дежавю,kizaru,2020-07-17,"6,510",16,Ukraine
Tantra,Miyagi & Andy Panda,2020-07-17,"6,472",17,Ukraine
Психопатия,Miyagi & Andy Panda,2020-07-17,"6,333",18,Ukraine
Utopia,Miyagi & Andy Panda,2020-07-17,"6,071",19,Ukraine
Breaking Me,"Topic, A7S",2020-07-17,"6,041",20,Ukraine
ily (i love you baby) (feat. Emilee),Surf Mesa,2020-07-17,"6,005",21,Ukraine
Roses - Imanbek Remix,SAINt JHN,2020-07-17,"5,896",22,Ukraine
Wishing Well,Juice WRLD,2020-07-17,"5,485",23,Ukraine
Toosie Slide,Drake,2020-07-17,"5,443",24,Ukraine
Medicine,Miyagi & Andy Panda,2020-07-17,"5,377",25,Ukraine
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",2020-07-17,"5,295",26,Ukraine
Мало нам,Miyagi & Andy Panda,2020-07-17,"5,079",27,Ukraine
Поболело и прошло,HENSY,2020-07-17,"5,076",28,Ukraine
Blueberry Faygo,Lil Mosey,2020-07-17,"4,889",29,Ukraine
Party Girl (Remix),"StaySolidRocky, Lil Uzi Vert",2020-07-17,"4,837",30,Ukraine
death bed (coffee for your head),"Powfu, beabadoobee",2020-07-17,"4,705",31,Ukraine
HIGHEST IN THE ROOM,Travis Scott,2020-07-17,"4,498",32,Ukraine
Kings & Queens,Ava Max,2020-07-17,"4,476",33,Ukraine
Break My Heart,Dua Lipa,2020-07-17,"4,432",34,Ukraine
SICKO MODE,Travis Scott,2020-07-17,"4,393",35,Ukraine
goosebumps,Travis Scott,2020-07-17,"4,354",36,Ukraine
Friendly Fire - Prod. Avepack,Boulevard Depo,2020-07-17,"4,349",37,Ukraine
ВЕЧЕРиНОЧКА,"MONATIK, Vera Brezhneva",2020-07-17,"4,329",38,Ukraine
Last Dance,Vremya i Steklo,2020-07-17,"4,322",39,Ukraine
Rain On Me (with Ariana Grande),Lady Gaga,2020-07-17,"4,255",40,Ukraine
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez, Jack Harlow",2020-07-17,"4,254",41,Ukraine
Положение,Scriptonite,2020-07-17,"4,152",42,Ukraine
Honey's Kettle,"kizaru, HoodRich Pablo Juan",2020-07-17,"4,129",43,Ukraine
Тихо діти сплять (Tyho Dity Splyat),alyona alyona,2020-07-17,"4,087",44,Ukraine
The Box,Roddy Ricch,2020-07-17,"4,080",45,Ukraine
Москва любит...,Scriptonite,2020-07-17,"4,022",46,Ukraine
Шантаж,Max Korzh,2020-07-17,"3,800",47,Ukraine
Gimme The Loot,Big Baby Tape,2020-07-17,"3,666",48,Ukraine
SO WHAT!,jxdn,2020-07-17,"3,629",49,Ukraine
Lovefool,twocolors,2020-07-17,"3,626",50,Ukraine
Колхозник,Mnogoznaal,2020-07-17,"3,623",51,Ukraine
Don't Start Now,Dua Lipa,2020-07-17,"3,623",52,Ukraine
