Date,Total.Streams,Abreviatted
2017-01-01,55139058,US
2017-01-02,48894824,US
2017-01-03,55168814,US
2017-01-04,55939894,US
2017-01-05,56235124,US
2017-01-06,59503480,US
2017-01-07,54059621,US
2017-01-08,51041199,US
2017-01-09,56164563,US
2017-01-10,58331512,US
2017-01-11,59651693,US
2017-01-12,61089468,US
2017-01-13,64350270,US
2017-01-14,60144577,US
2017-01-15,55471155,US
2017-01-16,58120310,US
2017-01-17,60334233,US
2017-01-18,61126580,US
2017-01-19,61443449,US
2017-01-20,62270788,US
2017-01-21,59271179,US
2017-01-22,54045809,US
2017-01-23,56944560,US
2017-01-24,59797522,US
2017-01-25,60682755,US
2017-01-26,61834728,US
2017-01-27,67869691,US
2017-01-28,63510516,US
2017-01-29,56969301,US
2017-01-30,60298890,US
2017-01-31,63306596,US
2017-02-01,63703851,US
2017-02-02,63927189,US
2017-02-03,70508023,US
2017-02-04,67649101,US
2017-02-05,62192520,US
2017-02-06,58984771,US
2017-02-07,64691917,US
2017-02-08,65410013,US
2017-02-09,64336735,US
2017-02-10,66751472,US
2017-02-11,64244522,US
2017-02-12,58348468,US
2017-02-13,63022492,US
2017-02-14,65296667,US
2017-02-15,64997697,US
2017-02-16,66019096,US
2017-02-17,73620645,US
2017-02-18,67939465,US
2017-02-19,60487161,US
2017-02-20,63352407,US
2017-02-21,65015234,US
2017-02-22,67435006,US
2017-02-23,69474939,US
2017-02-24,74765698,US
2017-02-25,69044342,US
2017-02-26,61360829,US
2017-02-27,64920718,US
2017-02-28,68492403,US
2017-03-01,68637120,US
2017-03-02,69657146,US
2017-03-03,80453245,US
2017-03-04,75391710,US
2017-03-05,67616995,US
2017-03-06,75171040,US
2017-03-07,76067778,US
2017-03-08,76234056,US
2017-03-09,76230578,US
2017-03-10,77797448,US
2017-03-11,73201285,US
2017-03-12,66331005,US
2017-03-13,70789400,US
2017-03-14,68217014,US
2017-03-15,69262549,US
2017-03-16,68933125,US
2017-03-17,70874003,US
2017-03-18,66351350,US
2017-03-19,93219108,US
2017-03-20,96540599,US
2017-03-21,93466119,US
2017-03-22,89024726,US
2017-03-23,86042157,US
2017-03-24,87310588,US
2017-03-25,79429334,US
2017-03-26,70474340,US
2017-03-27,76676431,US
2017-03-28,78000579,US
2017-03-29,77390621,US
2017-03-30,76274268,US
2017-03-31,80785756,US
2017-04-01,75046833,US
2017-04-02,68207041,US
2017-04-03,73288806,US
2017-04-04,73849908,US
2017-04-05,72952105,US
2017-04-06,71951650,US
2017-04-07,80932239,US
2017-04-08,74686275,US
2017-04-09,67594168,US
2017-04-10,72711718,US
2017-04-11,72838541,US
2017-04-12,73104977,US
2017-04-13,73980920,US
2017-04-14,103538141,US
2017-04-15,88747326,US
2017-04-16,76049121,US
2017-04-17,85881119,US
2017-04-18,87487929,US
2017-04-19,85523189,US
2017-04-20,85058614,US
2017-04-21,87632485,US
2017-04-22,79802709,US
2017-04-23,72129253,US
2017-04-24,79028926,US
2017-04-25,80436677,US
2017-04-26,80414868,US
2017-04-27,80209630,US
2017-04-28,86316428,US
2017-04-29,79279882,US
2017-04-30,71195547,US
2017-05-01,77833789,US
2017-05-02,80922307,US
2017-05-03,80763971,US
2017-05-04,80440407,US
2017-05-05,88458101,US
2017-05-06,80012459,US
2017-05-07,71127864,US
2017-05-08,78580890,US
2017-05-09,80807061,US
2017-05-10,79970706,US
2017-05-11,79911132,US
2017-05-12,87302905,US
2017-05-13,79646786,US
2017-05-14,70397916,US
2017-05-15,77757376,US
2017-05-16,79061049,US
2017-05-17,77927585,US
2017-05-18,80952452,US
2017-05-19,81630869,US
2017-05-20,75276975,US
2017-05-21,68435760,US
2017-05-22,74951678,US
2017-05-23,76372448,US
2017-05-24,77033260,US
2017-05-25,78200553,US
2017-05-26,85666580,US
2017-05-27,76939322,US
2017-05-28,67906666,US
2017-05-29,68076651,US
2017-06-01,75583746,US
2017-06-03,72037758,US
2017-06-04,65091353,US
2017-06-05,70274094,US
2017-06-06,73225880,US
2017-06-07,74064861,US
2017-06-08,72373433,US
2017-06-09,76728884,US
2017-06-10,70450727,US
2017-06-11,65087107,US
2017-06-12,70256178,US
2017-06-13,70374125,US
2017-06-14,71138103,US
2017-06-15,71707342,US
2017-06-16,76843968,US
2017-06-17,71337822,US
2017-06-18,63701545,US
2017-06-19,71043365,US
2017-06-20,72411893,US
2017-06-21,72125286,US
2017-06-22,70892279,US
2017-06-23,75444438,US
2017-06-24,70146732,US
2017-06-25,63348268,US
2017-06-26,70060039,US
2017-06-27,70320536,US
2017-06-28,69736826,US
2017-06-29,69859827,US
2017-06-30,74655271,US
2017-07-01,70228745,US
2017-07-02,62411910,US
2017-07-03,66018658,US
2017-07-04,67006128,US
2017-07-05,65520803,US
2017-07-06,67550471,US
